LAT;;;;;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;396.410;;;;;
LON;;;;;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;216.300;;;;;
ASL;;;;;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;166.000;;;;;
CITY;;;;;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;39.64°N 21.63°E;;;;;
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;;;;;
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc;;;;;
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Precipitation (low resolution);Snowfall Amount (high resolution);Snowfall Amount (low resolution);Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust;;;
UNIT;;;;;°C;%;hPa;mm;mm;cm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h;;;
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Year;Month;Day;Hour;Minute;Temperature;Relative_Humidity;Mean_Sea_Level_Pressure;Total_Precipitation;Total_Precipitation;Snowfall_Amount_(high_resolution);Snowfall_Amount_(low_resolution);Total_Cloud_Cover;High_Cloud_Cover;Medium_Cloud_Cover;Low_Cloud_Cover;Sunshine_Duration;Shortwave_Radiation;Wind_Speed_10m;Wind_Direction_10m;Wind_Speed_80m;Wind_Direction_80m;Wind_Speed_900mb;Wind_Direction_900_mb;Wind_Gust;Kwh;Calc_radiation;
